[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\types.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File D:\zoomlinks\zoomlinks\__init__.py first seen with mtime 1608843613.556751
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\tornado\iostream.py first seen with mtime 1608922663.5504978
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\urllib\error.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\tornado\http1connection.py first seen with mtime 1608922663.5454874
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\utils\dates.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\json\scanner.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\urllib\__init__.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\concurrent\__init__.py first seen with mtime 1607349758.0
